case_id,case_type,expected_decision,model,mode,decision,parse_success,seeded_gap_count,critical_gap_count,identified_gap_count,identified_critical_gap_count,gap_recall,critical_gap_recall,false_ready,false_block,evidence_claim_count,unsupported_evidence_claim_count,evidence_hallucination_rate,actionability_score_mean,decision_accuracy,latency_seconds,tokens_in,tokens_out,cost_usd,raw_file,notes
case_001,database_migration,FIX-BEFORE-SHIP,openai/gpt-5.5,m0_freeform,FIX-BEFORE-SHIP,1,3,2,3,2,1.0,1.0,0,0,0,0,0.0,1.42,1,35.23,443,1391,0.043945,gpt-5.5_m0_freeform_case_001.json,
case_002,cache_configuration,FIX-BEFORE-SHIP,openai/gpt-5.5,m0_freeform,FIX-BEFORE-SHIP,1,5,3,5,3,1.0,1.0,0,0,0,0,0.0,1.44,1,25.78,436,1179,0.03755,gpt-5.5_m0_freeform_case_002.json,
case_003,kubernetes_resource_change,FIX-BEFORE-SHIP,openai/gpt-5.5,m0_freeform,FIX-BEFORE-SHIP,1,3,1,3,1,1.0,1.0,0,0,0,0,0.0,1.63,1,43.12,512,1610,0.05086,gpt-5.5_m0_freeform_case_003.json,
case_004,infrastructure_change,FIX-BEFORE-SHIP,openai/gpt-5.5,m0_freeform,FIX-BEFORE-SHIP,1,5,3,5,3,1.0,1.0,0,0,0,0,0.0,1.18,1,27.4,467,1290,0.041035,gpt-5.5_m0_freeform_case_004.json,
case_005,routing_change,FIX-BEFORE-SHIP,openai/gpt-5.5,m0_freeform,FIX-BEFORE-SHIP,1,4,3,4,3,1.0,1.0,0,0,0,0,0.0,1.62,1,34.67,552,1794,0.05658,gpt-5.5_m0_freeform_case_005.json,
case_006,auth_configuration,FIX-BEFORE-SHIP,openai/gpt-5.5,m0_freeform,FIX-BEFORE-SHIP,1,4,3,4,3,1.0,1.0,0,0,0,0,0.0,1.48,1,33.96,457,1379,0.043655,gpt-5.5_m0_freeform_case_006.json,
case_007,observability_logging,FIX-BEFORE-SHIP,openai/gpt-5.5,m0_freeform,FIX-BEFORE-SHIP,1,3,2,3,2,1.0,1.0,0,0,0,0,0.0,1.6,1,26.74,484,1176,0.0377,gpt-5.5_m0_freeform_case_007.json,
case_008,background_worker_queue,FIX-BEFORE-SHIP,openai/gpt-5.5,m0_freeform,FIX-BEFORE-SHIP,1,6,3,6,3,1.0,1.0,0,0,0,0,0.0,1.48,1,27.86,420,1101,0.03513,gpt-5.5_m0_freeform_case_008.json,
case_009,feature_flag_rollout,FIX-BEFORE-SHIP,openai/gpt-5.5,m0_freeform,FIX-BEFORE-SHIP,1,5,2,5,2,1.0,1.0,0,0,0,0,0.0,1.52,1,20.0,466,1082,0.03479,gpt-5.5_m0_freeform_case_009.json,
case_010,k8s_hpa_scaling,READY,openai/gpt-5.5,m0_freeform,FIX-BEFORE-SHIP,1,0,0,0,0,NA,NA,0,1,0,0,0.0,1.41,0,37.03,930,1602,0.05271,gpt-5.5_m0_freeform_case_010.json,
case_011,feature_flag_rollout,READY,openai/gpt-5.5,m0_freeform,FIX-BEFORE-SHIP,1,0,0,0,0,NA,NA,0,1,0,0,0.0,1.81,0,40.48,868,1534,0.05036,gpt-5.5_m0_freeform_case_011.json,
case_012,cdn_dns_routing,READY,openai/gpt-5.5,m0_freeform,FIX-BEFORE-SHIP,1,0,0,0,0,NA,NA,0,1,4,1,0.25,1.2,0,44.84,1127,1800,0.059635,gpt-5.5_m0_freeform_case_012.json,
