model,mode,metric,successes,trials,estimate,wilson_95_low,wilson_95_high,note
ALL_MODELS,m0_freeform,decision_accuracy,27,36,0.750000,0.589295,0.862495,correct decisions
ALL_MODELS,m0_freeform,false_ready_rate,0,27,0.000000,0.000000,0.124555,false READY decisions
ALL_MODELS,m0_freeform,false_block_rate,9,9,1.000000,0.700855,1.000000,false blocks
ALL_MODELS,m0_freeform,unsupported_evidence_pooled_rate,3,8,0.375000,0.136844,0.694258,unsupported claims; pooled claim-level estimate
ALL_MODELS,m0_freeform,critical_gap_recall_pooled,64,66,0.969697,0.896075,0.991650,identified critical-gap observations; pooled estimate
ALL_MODELS,m1_checklist,decision_accuracy,35,36,0.972222,0.858303,0.995080,correct decisions
ALL_MODELS,m1_checklist,false_ready_rate,0,27,0.000000,0.000000,0.124555,false READY decisions
ALL_MODELS,m1_checklist,false_block_rate,1,9,0.111111,0.019891,0.435000,false blocks
ALL_MODELS,m1_checklist,unsupported_evidence_pooled_rate,14,22,0.636364,0.429517,0.802668,unsupported claims; pooled claim-level estimate
ALL_MODELS,m1_checklist,critical_gap_recall_pooled,66,66,1.000000,0.944997,1.000000,identified critical-gap observations; pooled estimate
ALL_MODELS,m2_evidence_grounded,decision_accuracy,36,36,1.000000,0.903581,1.000000,correct decisions
ALL_MODELS,m2_evidence_grounded,false_ready_rate,0,27,0.000000,0.000000,0.124555,false READY decisions
ALL_MODELS,m2_evidence_grounded,false_block_rate,0,9,0.000000,0.000000,0.299145,false blocks
ALL_MODELS,m2_evidence_grounded,unsupported_evidence_pooled_rate,13,159,0.081761,0.048402,0.134852,unsupported claims; pooled claim-level estimate
ALL_MODELS,m2_evidence_grounded,critical_gap_recall_pooled,66,66,1.000000,0.944997,1.000000,identified critical-gap observations; pooled estimate
meta-llama/llama-4-maverick,m0_freeform,decision_accuracy,9,12,0.750000,0.467695,0.911058,correct decisions
meta-llama/llama-4-maverick,m0_freeform,false_ready_rate,0,9,0.000000,0.000000,0.299145,false READY decisions
meta-llama/llama-4-maverick,m0_freeform,false_block_rate,3,3,1.000000,0.438503,1.000000,false blocks
meta-llama/llama-4-maverick,m0_freeform,unsupported_evidence_pooled_rate,0,1,0.000000,0.000000,0.793451,unsupported claims; pooled claim-level estimate
meta-llama/llama-4-maverick,m0_freeform,critical_gap_recall_pooled,20,22,0.909091,0.721851,0.974705,identified critical-gap observations; pooled estimate
meta-llama/llama-4-maverick,m1_checklist,decision_accuracy,12,12,1.000000,0.757506,1.000000,correct decisions
meta-llama/llama-4-maverick,m1_checklist,false_ready_rate,0,9,0.000000,0.000000,0.299145,false READY decisions
meta-llama/llama-4-maverick,m1_checklist,false_block_rate,0,3,0.000000,0.000000,0.561497,false blocks
meta-llama/llama-4-maverick,m1_checklist,unsupported_evidence_pooled_rate,3,6,0.500000,0.187616,0.812384,unsupported claims; pooled claim-level estimate
meta-llama/llama-4-maverick,m1_checklist,critical_gap_recall_pooled,22,22,1.000000,0.851345,1.000000,identified critical-gap observations; pooled estimate
meta-llama/llama-4-maverick,m2_evidence_grounded,decision_accuracy,12,12,1.000000,0.757506,1.000000,correct decisions
meta-llama/llama-4-maverick,m2_evidence_grounded,false_ready_rate,0,9,0.000000,0.000000,0.299145,false READY decisions
meta-llama/llama-4-maverick,m2_evidence_grounded,false_block_rate,0,3,0.000000,0.000000,0.561497,false blocks
meta-llama/llama-4-maverick,m2_evidence_grounded,unsupported_evidence_pooled_rate,10,62,0.161290,0.090041,0.272063,unsupported claims; pooled claim-level estimate
meta-llama/llama-4-maverick,m2_evidence_grounded,critical_gap_recall_pooled,22,22,1.000000,0.851345,1.000000,identified critical-gap observations; pooled estimate
openai/gpt-5.5,m0_freeform,decision_accuracy,9,12,0.750000,0.467695,0.911058,correct decisions
openai/gpt-5.5,m0_freeform,false_ready_rate,0,9,0.000000,0.000000,0.299145,false READY decisions
openai/gpt-5.5,m0_freeform,false_block_rate,3,3,1.000000,0.438503,1.000000,false blocks
openai/gpt-5.5,m0_freeform,unsupported_evidence_pooled_rate,1,4,0.250000,0.045587,0.699358,unsupported claims; pooled claim-level estimate
openai/gpt-5.5,m0_freeform,critical_gap_recall_pooled,22,22,1.000000,0.851345,1.000000,identified critical-gap observations; pooled estimate
openai/gpt-5.5,m1_checklist,decision_accuracy,11,12,0.916667,0.646120,0.985135,correct decisions
openai/gpt-5.5,m1_checklist,false_ready_rate,0,9,0.000000,0.000000,0.299145,false READY decisions
openai/gpt-5.5,m1_checklist,false_block_rate,1,3,0.333333,0.061492,0.792340,false blocks
openai/gpt-5.5,m1_checklist,unsupported_evidence_pooled_rate,2,2,1.000000,0.342380,1.000000,unsupported claims; pooled claim-level estimate
openai/gpt-5.5,m1_checklist,critical_gap_recall_pooled,22,22,1.000000,0.851345,1.000000,identified critical-gap observations; pooled estimate
openai/gpt-5.5,m2_evidence_grounded,decision_accuracy,12,12,1.000000,0.757506,1.000000,correct decisions
openai/gpt-5.5,m2_evidence_grounded,false_ready_rate,0,9,0.000000,0.000000,0.299145,false READY decisions
openai/gpt-5.5,m2_evidence_grounded,false_block_rate,0,3,0.000000,0.000000,0.561497,false blocks
openai/gpt-5.5,m2_evidence_grounded,unsupported_evidence_pooled_rate,3,49,0.061224,0.021040,0.165205,unsupported claims; pooled claim-level estimate
openai/gpt-5.5,m2_evidence_grounded,critical_gap_recall_pooled,22,22,1.000000,0.851345,1.000000,identified critical-gap observations; pooled estimate
x-ai/grok-4.3,m0_freeform,decision_accuracy,9,12,0.750000,0.467695,0.911058,correct decisions
x-ai/grok-4.3,m0_freeform,false_ready_rate,0,9,0.000000,0.000000,0.299145,false READY decisions
x-ai/grok-4.3,m0_freeform,false_block_rate,3,3,1.000000,0.438503,1.000000,false blocks
x-ai/grok-4.3,m0_freeform,unsupported_evidence_pooled_rate,2,3,0.666667,0.207660,0.938508,unsupported claims; pooled claim-level estimate
x-ai/grok-4.3,m0_freeform,critical_gap_recall_pooled,22,22,1.000000,0.851345,1.000000,identified critical-gap observations; pooled estimate
x-ai/grok-4.3,m1_checklist,decision_accuracy,12,12,1.000000,0.757506,1.000000,correct decisions
x-ai/grok-4.3,m1_checklist,false_ready_rate,0,9,0.000000,0.000000,0.299145,false READY decisions
x-ai/grok-4.3,m1_checklist,false_block_rate,0,3,0.000000,0.000000,0.561497,false blocks
x-ai/grok-4.3,m1_checklist,unsupported_evidence_pooled_rate,9,14,0.642857,0.387644,0.836553,unsupported claims; pooled claim-level estimate
x-ai/grok-4.3,m1_checklist,critical_gap_recall_pooled,22,22,1.000000,0.851345,1.000000,identified critical-gap observations; pooled estimate
x-ai/grok-4.3,m2_evidence_grounded,decision_accuracy,12,12,1.000000,0.757506,1.000000,correct decisions
x-ai/grok-4.3,m2_evidence_grounded,false_ready_rate,0,9,0.000000,0.000000,0.299145,false READY decisions
x-ai/grok-4.3,m2_evidence_grounded,false_block_rate,0,3,0.000000,0.000000,0.561497,false blocks
x-ai/grok-4.3,m2_evidence_grounded,unsupported_evidence_pooled_rate,0,48,0.000000,0.000000,0.074100,unsupported claims; pooled claim-level estimate
x-ai/grok-4.3,m2_evidence_grounded,critical_gap_recall_pooled,22,22,1.000000,0.851345,1.000000,identified critical-gap observations; pooled estimate
