case_id,model,mode,raw_file,quote_index,quote,current_supported,strict_supported,classification_changed,source_context
case_012,openai/gpt-5.5,m0_freeform,gpt-5.5_m0_freeform_case_012.json,1,assets.example.com,1,1,0,"tic assets (images, js, css) served by storefront-service. dns cname will point assets.example.com to cloudfront. origin remains the existing s3 bucket with 1-hour cache ttl. dif"
case_012,openai/gpt-5.5,m0_freeform,gpt-5.5_m0_freeform_case_012.json,2,assets.example.com,1,1,0,"tic assets (images, js, css) served by storefront-service. dns cname will point assets.example.com to cloudfront. origin remains the existing s3 bucket with 1-hour cache ttl. dif"
case_012,openai/gpt-5.5,m0_freeform,gpt-5.5_m0_freeform_case_012.json,3,assets.example.com,1,1,0,"tic assets (images, js, css) served by storefront-service. dns cname will point assets.example.com to cloudfront. origin remains the existing s3 bucket with 1-hour cache ttl. dif"
case_012,openai/gpt-5.5,m0_freeform,gpt-5.5_m0_freeform_case_012.json,4,TLSv1.2_2021,0,0,0,NO CONTIGUOUS MATCH IN SUPPLIED BUNDLE
case_001,openai/gpt-5.5,m2_evidence_grounded,gpt-5.5_m2_evidence_grounded_case_001.json,1,pg_stat_activity monitored during migration. Slow-query dashboard: grafana.internal/d/pg-slow-queries,1,1,0," guards new column usage. rollback plan: [not provided] observability evidence: pg_stat_activity monitored during migration. slow-query dashboard: grafana.internal/d/pg-slow-queries alerting evidence: [not provided] owner / on-call: order-team, #order-oncall sl"
case_001,openai/gpt-5.5,m2_evidence_grounded,gpt-5.5_m2_evidence_grounded_case_001.json,2,Feature flag guards new column usage.,1,1,0,raffic window (3-5am utc). application code deployed after migration completes. feature flag guards new column usage. rollback plan: [not provided] observability evidence: pg_stat_activity monitore
case_001,openai/gpt-5.5,m2_evidence_grounded,gpt-5.5_m2_evidence_grounded_case_001.json,3,"order-team, #order-oncall Slack channel, @jsmith primary on-call",1,1,0,"a.internal/d/pg-slow-queries alerting evidence: [not provided] owner / on-call: order-team, #order-oncall slack channel, @jsmith primary on-call slo / reliability impact: should be fine blast radius: [not provided] validatio"
case_001,openai/gpt-5.5,m2_evidence_grounded,gpt-5.5_m2_evidence_grounded_case_001.json,4,Migration tested on staging (2M row copy of production). Completed in 4.2s with no lock contention.,1,1,0,bility impact: should be fine blast radius: [not provided] validation evidence: migration tested on staging (2m row copy of production). completed in 4.2s with no lock contention.
case_002,openai/gpt-5.5,m2_evidence_grounded,gpt-5.5_m2_evidence_grounded_case_002.json,1,Cache miss rate will increase ~12x during transition. Auth latency p99 may spike from 45ms to 200ms+ until cache warms.,1,1,0,"dence: [not provided] owner / on-call: [not provided] slo / reliability impact: cache miss rate will increase ~12x during transition. auth latency p99 may spike from 45ms to 200ms+ until cache warms. blast radius: all authenticated users. downstream services: order-service, prof"
case_003,openai/gpt-5.5,m2_evidence_grounded,gpt-5.5_m2_evidence_grounded_case_003.json,1,Observability Evidence: Grafana dashboard: grafana.internal/d/order-svc-resources showing memory usage trends and OOMKill count.,1,1,0,=0. pods replaced one at a time over ~15 minutes. rollback plan: [not provided] observability evidence: grafana dashboard: grafana.internal/d/order-svc-resources showing memory usage trends and oomkill count. alerting evidence: pagerduty alert 'order-service-oomkill' fires when oomkill c
case_003,openai/gpt-5.5,m2_evidence_grounded,gpt-5.5_m2_evidence_grounded_case_003.json,2,Alerting Evidence: PagerDuty alert 'order-service-oomkill' fires when OOMKill count > 2 in 5m window. Alert has fired 14 times this week.,1,1,0,a.internal/d/order-svc-resources showing memory usage trends and oomkill count. alerting evidence: pagerduty alert 'order-service-oomkill' fires when oomkill count > 2 in 5m window. alert has fired 14 times this week. owner / on-call: [not provided] slo / reliability impact: [not provided] blast
case_003,openai/gpt-5.5,m2_evidence_grounded,gpt-5.5_m2_evidence_grounded_case_003.json,3,Deployment Plan: Rolling update with maxSurge=1 maxUnavailable=0. Pods replaced one at a time over ~15 minutes.,1,1,0,"s 3 azs, eks cluster prod-us-east-1. current node pool: m5.2xlarge (32gi each). deployment plan: rolling update with maxsurge=1 maxunavailable=0. pods replaced one at a time over ~15 minutes. rollback plan: [not provided] observability evidence: grafana dashboard: grafan"
case_003,openai/gpt-5.5,m2_evidence_grounded,gpt-5.5_m2_evidence_grounded_case_003.json,4,Validation Evidence: Load test in staging with 2Gi limit showed 0 OOMKills under 2x production traffic for 4 hours.,1,1,0,-service only. node memory utilization will increase from 68% to ~74% per node. validation evidence: load test in staging with 2gi limit showed 0 oomkills under 2x production traffic for 4 hours.
case_004,openai/gpt-5.5,m2_evidence_grounded,gpt-5.5_m2_evidence_grounded_case_004.json,1,CloudWatch RDS dashboard: console.aws.amazon.com/cloudwatch/home?region=us-east-1#dashboards:name=payments-rds,1,1,0,ment plan: terraform apply rollback plan: can downgrade observability evidence: cloudwatch rds dashboard: console.aws.amazon.com/cloudwatch/home?region=us-east-1#dashboards:name=payments-rds alerting evidence: [not provided] owner / on-call: dba team owns payments-db. o
case_005,openai/gpt-5.5,m2_evidence_grounded,gpt-5.5_m2_evidence_grounded_case_005.json,1,"Deployment Plan: Canary rollout: 10% traffic for 30min, then 50% for 1h, then 100% if error rate stays below 0.1%.",1,1,0,"10k rpm. /api/v2 handles ~3.2k rpm from mobile clients and 2 internal services. deployment plan: canary rollout: 10% traffic for 30min, then 50% for 1h, then 100% if error rate stays below 0.1%. rollback plan: [not provided] observability evidence: [not provided] alerting e"
case_005,openai/gpt-5.5,m2_evidence_grounded,gpt-5.5_m2_evidence_grounded_case_005.json,2,Owner / On-Call: platform-team owns ingress. On-call: @platform-oncall in #platform-incidents,1,1,0,vided] observability evidence: [not provided] alerting evidence: [not provided] owner / on-call: platform-team owns ingress. on-call: @platform-oncall in #platform-incidents slo / reliability impact: [not provided] blast radius: all /api/v2 consumers: m
case_005,openai/gpt-5.5,m2_evidence_grounded,gpt-5.5_m2_evidence_grounded_case_005.json,3,Validation Evidence: api-v2-service passes full integration test suite. Load tested at 5k RPM with p99 < 80ms.,1,1,0,"pi/v2 consumers: mobile app (ios/android), order-service, notification-service. validation evidence: api-v2-service passes full integration test suite. load tested at 5k rpm with p99 < 80ms."
case_006,openai/gpt-5.5,m2_evidence_grounded,gpt-5.5_m2_evidence_grounded_case_006.json,1,"Grafana dashboard: grafana.internal/d/auth-service-overview showing token issuance rate, refresh rate, and error counts.",1,1,0,"ment plan: deploy to prod rollback plan: [not provided] observability evidence: grafana dashboard: grafana.internal/d/auth-service-overview showing token issuance rate, refresh rate, and error counts. alerting evidence: [not provided] owner / on-call: [not provided] slo / reliabi"
case_006,openai/gpt-5.5,m2_evidence_grounded,gpt-5.5_m2_evidence_grounded_case_006.json,2,Tested in staging environment for 1 hour with synthetic load. 0 auth errors observed. Refresh endpoint p99 stayed under 50ms.,1,1,0,ected 336k req/h post-change. blast radius: [not provided] validation evidence: tested in staging environment for 1 hour with synthetic load. 0 auth errors observed. refresh endpoint p99 stayed under 50ms.
case_007,openai/gpt-5.5,m2_evidence_grounded,gpt-5.5_m2_evidence_grounded_case_007.json,1,Observability Evidence: Log volume dashboard: grafana.internal/d/search-log-volume. Fluentd pipeline metrics in CloudWatch.,1,1,0,"l rollout: 5% of pods -> 25% -> 100% over 3 days. rollback plan: [not provided] observability evidence: log volume dashboard: grafana.internal/d/search-log-volume. fluentd pipeline metrics in cloudwatch. alerting evidence: [not provided] owner / on-call: observability-team, slack: @"
